,Date,Brand,ProductDescription,Reason,Company,Url
0,"Sat, 31 Dec 2011 22:37:00 -0500","Let&#39;s Grow Healthy Together!, Green Valley Food Corp., Broccosprouts",Sprouts,Listeria monocytogenes,Green Valley Food Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285460.htm
1,"Sat, 31 Dec 2011 00:00:00 -0500",Edelweiss Creamery,cheese,Listeria monocytogenes,Alpine Slicing and Cheese Conversion,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm286000.htm
2,"Sat, 31 Dec 2011 00:00:00 -0500",Brennan&#39;s Cellars,Cheese,Listeria monocytogenes,Alpine Slicing and Cheese Conversion,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285982.htm
3,"Fri, 30 Dec 2011 00:00:00 -0500",Martinelli&#39;s Gold Medal,Sparkling Cider,Defective Seal,S. Martinelli &amp; Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285808.htm
4,"Fri, 30 Dec 2011 00:00:00 -0500",Organique by Himalaya,Night Cream,staphylococcus aureus and fungus,HimalayaUSA,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285459.htm
5,"Thu, 29 Dec 2011 00:00:00 -0500",Fromagerie Marie KadÃ¨,Cheese,Listeria monocytogenes,Cedar Market,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285402.htm
6,"Wed, 28 Dec 2011 10:30:00 -0500",Winn-Dixie,Green Beans,Undeclared Peanuts,"Winn-Dixie Stores, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285318.htm
7,"Wed, 28 Dec 2011 00:00:00 -0500",Pine Ridge,Barbeque and Dipping Sauce,Undeclared Anchovies,"Herbadashery, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm287765.htm
8,"Tue, 27 Dec 2011 00:00:00 -0500",Baraka,Apricot Candies,Undeclared Sulfites,U.B.C Food Distributors,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285363.htm
9,"Tue, 27 Dec 2011 00:00:00 -0500",Green Cedar Dairy,Cheese,Listeria monocytogenes,Green Cedar Dairy,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285239.htm
10,"Fri, 23 Dec 2011 16:49:00 -0500","Better Brand, Krisp Pak, Avon Heights",Fresh Spinach,E. coli 0157:H7,"Avon Heights Mushrooms, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285071.htm
11,"Fri, 23 Dec 2011 13:04:00 -0500",Pat O&#39;Brien&#39;s,Bloody Mary Cocktail Mix,Undeclared Soy and Wheat,"Sirocco Enterprises, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285052.htm
12,"Fri, 23 Dec 2011 00:00:00 -0500",Cedar,Cheese,Listeria monocytogenes,Kradjian Imp Co,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285097.htm
13,"Fri, 23 Dec 2011 00:00:00 -0500",New York Handbag Collection,Chocolate Candy,Undeclared tree nuts and peanuts,"Maribel&#39;s Sweets, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285069.htm
14,"Thu, 22 Dec 2011 23:40:00 -0500",Let&#39;s Grow Healthy Together,Alfalfa Sprouts,Salmonella,Green Valley Food Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284965.htm
15,"Thu, 22 Dec 2011 15:25:00 -0500",AVEA,AVEA Ventilators,Potential risk is associated with certain AVEA ventilators and affected replacement parts,CareFusion,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284812.htm
16,"Thu, 22 Dec 2011 00:00:00 -0500",Market Basket,White Albacore Tuna,Undeclared soy,Market Basket,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284705.htm
17,"Thu, 22 Dec 2011 00:00:00 -0500","Bivona, FlexTend, Aire-Cuf",Tracheostomy tubes,Difficulty disconnecting the device from connectors,Smiths Medical,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285191.htm
18,"Thu, 22 Dec 2011 00:00:00 -0500",INOMAX,INOMAX DS Drug-Delivery System,Erratic nitric oxide monitor readings.,"Ikaria, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285032.htm
19,"Thu, 22 Dec 2011 00:00:00 -0500",Let&#39;s Grow Healthy Together,Sprouts,Salmonella,Green Valley Food Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285093.htm
20,"Thu, 22 Dec 2011 00:00:00 -0500","Royal Snacks, Nutty Bros, Eillien&#39;s, more",Yogurt Raisins and Granola Mix,Undeclared Peanuts,"Eillien&#39;s Candies, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285080.htm
21,"Wed, 21 Dec 2011 00:00:00 -0500",Motrin,Motrin IB Coated Tablets and Motrin IB Coated Caplets,May not dissolve as quickly as intended,McNeil,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284942.htm
22,"Wed, 21 Dec 2011 00:00:00 -0500",Cal Fresco,Jalapeño and Serrano chili peppers,Salmonella,"Cal Fresco, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284531.htm
23,"Tue, 20 Dec 2011 00:00:00 -0500",Price Chopper,Flavored Cheesecakes,Undeclared Egg,Price Chopper Supermarkets,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285064.htm
24,"Tue, 20 Dec 2011 00:00:00 -0500",Eclectic Institute,Dietary Supplements,Salmonella,Eclectic Institute,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284454.htm
25,"Tue, 20 Dec 2011 00:00:00 -0500",Gollo,Dominican Bread,Undeclared Milk,Gollo Desserts Bakery,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284321.htm
26,"Tue, 20 Dec 2011 00:00:00 -0500",Popcorn Palace,Snack Products,"Undeclared Milk, Soy, Wheat, Tree Nuts , Peanuts",Popcorn Palace,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284383.htm
27,"Fri, 16 Dec 2011 00:00:00 -0500",Swanson,Organic Celery Seed,Salmonella,Swanson Health Products,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284034.htm
28,"Fri, 16 Dec 2011 00:00:00 -0500",O Organics,Organic Celery Seed,Salmonella,"B&amp;M, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284049.htm
29,"Thu, 15 Dec 2011 00:00:00 -0500",Velvet Creme Popcorn,Snack Products,"Undeclared Milk, Soy and Wheat",Velvet Creme Popcorn Co.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283865.htm
30,"Thu, 15 Dec 2011 00:00:00 -0500",B/C Topping,Whipped Topping,Undeclared Milk,"Ohio Processors, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284053.htm
31,"Wed, 14 Dec 2011 00:00:00 -0500","Naturewise, Producer&#39;s Pride, Dumor &amp; Showmaster",Poultry and Calf whole and cracked corn products,may contain high levels of aflatoxin,Cargill Animal Nutrition,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm304087.htm
32,"Wed, 14 Dec 2011 00:00:00 -0500","Riata, Riata ST",Silicone Endocardial Defibrillation Leads,Potential equipment malfunction,"St. Jude Medical, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283879.htm
33,"Wed, 14 Dec 2011 00:00:00 -0500",Petrus,Dry dog food,Aflatoxin,"Petrus Feed and Seed Stores, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285240.htm
34,"Wed, 14 Dec 2011 00:00:00 -0500",Starwest,Organic Celery Seed,Salmonella,Starwest Botanicals,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284456.htm
35,"Wed, 14 Dec 2011 00:00:00 -0500",Sunrise,Gummy Bears,Possible metal contamination,"Winn-Dixie Stores, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283665.htm
36,"Wed, 14 Dec 2011 00:00:00 -0500",Rising Moon Organics,Ravioli,Undeclared soy,Rising Moon Organics,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283717.htm
37,"Tue, 13 Dec 2011 00:00:00 -0500",Dog Power,Dry dog food,Aflatoxin,Advanced Animal Nutrition,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm290117.htm
38,"Tue, 13 Dec 2011 00:00:00 -0500",Arrowbrand,Dry dog food,Aflatoxin,"O&#39;Neal&#39;s Feeders Supply, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285254.htm
39,"Fri, 09 Dec 2011 14:43:00 -0500",Tejava,Iced Tea,Presence of glass fragments,Crystal Geyser Water Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283241.htm
40,"Fri, 09 Dec 2011 00:00:00 -0500",Pacific International Marketing,Cilantro,Salmonella,Pacific International Marketing,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283288.htm
