DATE,BRAND_NAME,PRODUCT_DESCRIPTION,REASON,COMPANY,COMPANY_RELEASE_LINK,PHOTOS_LINK,upc
"Wed, 31 Dec 2014 18:38:00 -0500",Whole Foods,Cheeses,Listeria monocytogenes,Whole Foods Market,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428678.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428679.htm,[]
"Wed, 31 Dec 2014 15:28:00 -0500",Jump Your Bones,Pet treats,Salmonella,"Jump Your Bones, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428671.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428673.htm,[]
"Wed, 31 Dec 2014 14:48:00 -0500",Private Selection,Bread crumbs and breader,"Undeclared peanuts, Undeclared Peanut (from Cumin Ingredient)","Adams Flavors, Foods &amp; Ingredients",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2015/ucm428664.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428668.htm,"['1111078622', '1111085763']"
"Wed, 31 Dec 2014 00:00:00 -0500",Virazole,ribavirin powder for solution,Microbial Contamination,Valeant Pharmaceuticals North America LLC,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2015/ucm428683.htm,,[]
"Tue, 30 Dec 2014 18:51:00 -0500","Buff Ewe Blue, Buff Blue, Double Down Blue and more",Cheeses,Listeria monocytogenes,Bleating Heart Cheese (BHC),http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428494.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428500.htm,[]
"Tue, 30 Dec 2014 18:37:00 -0500",Fisher,Chopped walnuts and Pecan Cookie Pieces,Salmonella,"John B. Sanfilippo &amp; Son, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428489.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428490.htm,"['070690023511', '070690023603']"
"Tue, 30 Dec 2014 11:40:00 -0500",Tommyâs Superfoods,Santa Fe Rice,Undeclared peanuts,TEN BC LLC,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428406.htm,,[]
"Tue, 30 Dec 2014 00:00:00 -0500",Pinkâs,Ice Cream,Listeria monocytogenes,Pinkâs Ice Cream LLC,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428525.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428526.htm,[]
"Mon, 29 Dec 2014 20:14:00 -0500",Merbâs,Caramel apples,Listeria monocytogenes,Merbs Candies,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428310.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428311.htm,[]
"Mon, 29 Dec 2014 15:39:00 -0500","DL Jardines, Shotgun Willieâs",Chili Mix Products,Undeclared peanuts,"Jardine Foods, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428271.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm428303.htm,"['022531018804', '022531052501', '022531505007']"
