DATE,BRAND_NAME,PRODUCT_DESCRIPTION,REASON,COMPANY,COMPANY_RELEASE_LINK,PHOTOS_LINK
"Sat, 31 Dec 2011 22:37:00 -0500","Let&#39;s Grow Healthy Together!, Green Valley Food Corp., Broccosprouts",Sprouts,Listeria monocytogenes,Green Valley Food Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285460.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285461.htm
"Sat, 31 Dec 2011 00:00:00 -0500",Edelweiss Creamery,cheese,Listeria monocytogenes,Alpine Slicing and Cheese Conversion,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm286000.htm,
"Sat, 31 Dec 2011 00:00:00 -0500",Brennan&#39;s Cellars,Cheese,Listeria monocytogenes,Alpine Slicing and Cheese Conversion,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285982.htm,
"Fri, 30 Dec 2011 00:00:00 -0500",Martinelli&#39;s Gold Medal,Sparkling Cider,Defective Seal,S. Martinelli &amp; Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285808.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285813.htm
"Fri, 30 Dec 2011 00:00:00 -0500",Organique by Himalaya,Night Cream,staphylococcus aureus and fungus,HimalayaUSA,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285459.htm,
"Thu, 29 Dec 2011 00:00:00 -0500",Fromagerie Marie Kad̬,Cheese,Listeria monocytogenes,Cedar Market,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285402.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285403.htm
"Wed, 28 Dec 2011 10:30:00 -0500",Winn-Dixie,Green Beans,Undeclared Peanuts,"Winn-Dixie Stores, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285318.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285320.htm
"Wed, 28 Dec 2011 00:00:00 -0500",Pine Ridge,Barbeque and Dipping Sauce,Undeclared Anchovies,"Herbadashery, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm287765.htm,
"Tue, 27 Dec 2011 00:00:00 -0500",Baraka,Apricot Candies,Undeclared Sulfites,U.B.C Food Distributors,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285363.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285368.htm
"Tue, 27 Dec 2011 00:00:00 -0500",Green Cedar Dairy,Cheese,Listeria monocytogenes,Green Cedar Dairy,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285239.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285243.htm
"Fri, 23 Dec 2011 16:49:00 -0500","Better Brand, Krisp Pak, Avon Heights",Fresh Spinach,E. coli 0157:H7,"Avon Heights Mushrooms, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285071.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285072.htm
"Fri, 23 Dec 2011 13:04:00 -0500",Pat O&#39;Brien&#39;s,Bloody Mary Cocktail Mix,Undeclared Soy and Wheat,"Sirocco Enterprises, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285052.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285053.htm
"Fri, 23 Dec 2011 00:00:00 -0500",Cedar,Cheese,Listeria monocytogenes,Kradjian Imp Co,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285097.htm,
"Fri, 23 Dec 2011 00:00:00 -0500",New York Handbag Collection,Chocolate Candy,Undeclared tree nuts and peanuts,"Maribel&#39;s Sweets, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285069.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285070.htm
