Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Food","No","","72173","Terminated","Del Monte Fresh Produce N A Inc","6311 Deramus Ave","","Kansas City","MO","	64120-1358","United States","Voluntary: Firm Initiated","Telephone","Texas, Oklahoma, Arkansas, Kansas","F-0436-2016","Class I","Cross Valley Farms cucumbers, 24 count corrugated carton","2356 cases","Possible contamination with Salmonella.","09/10/2015","12/28/2015","04/12/2016","01/06/2016","7563200"
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0442-2016","Class I","Helados La Tapatia Creamy Fruit Bars;  Strawberry Cream flavor; Net Wt. 3 FL oz;    UPC 6 34242 20001 2;    INGREDIENTS FOR MILK BARS:  ICE CREAM MIX (MILK FAT AND NON FAT MILK, SUGAR, CORN SYRUP, MONO  AND DIGLYCERIDES, CELLULOSE GUM, GUAR GUM, POLYSORBATE 80,  CARRAGEENAN), STABILIZER (XANTHAN GUM, GUAR GUM, STANDARDIZED  WITH DEXTROSE) WATER, STRAWBERRIES, SUGAR, AND RED #40 (WATER,  YELLOW 5 AND BLUE 1, CITRIC ACID AND SODIUM BENZOATE (A  PRESERVATIVE)).  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS  CONTAINING PEANUTS, TREE NUTS, SOY, WHEAT AND MILK.  CONTAINS: MILK, FD&C YELLOW NO.5    Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","326 units","Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling.","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 20001 2;   Distributed 10-8 to 10-16-2015.   lot number ¿282 15 01;   lot number ¿285 15 02¿  ¿"
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0443-2016","Class I","Helados La Tapatia Creamy Fruit Bars;  Natural Creamy All Natural Coconut Coco; Net Wt. 3 FL oz; (85g)    UPC 6 34242 20002 9;    INGREDIENTS: ICE CREAM MIX MILK, FRESH CONDENSED  SKIM MILK, SUCROSE, CORN SYRUP, DESSERT SOLIDS (WHEY, REDUCED  LACTOSE WHEY AND. NON FAT DRIED MILK) AND STABILIZER (GUAR  GUM, MONO AND DIGLYCERIDES), CALCIUM SORBATE, POLYSORBATE  40, CELLULOSE GUM AND CARRAGENAN), WATER, FRESH COCONUT,  SUGAR AND COCONUT FLAVOR.  Manufactured in a facility that produces products with almonds,  peanuts, cashews, hazel nuts, pecans and/or walnuts.    Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","3,248 units","Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling.","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 20002 9;   Distributed 10-8 to 10-16-2015.   lot number ¿282 15 02¿   lot number ¿285 15 03¿   lot number ¿288 15 03¿¿"
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0445-2016","Class I","Helados La Tapatia Creamy Fruit Bars;  Chocolate; Net Wt. 3 FL oz;   UPC 6 34242 20003 6;    INGREDIENTS FOR MILK BARS:  ICE CREAM MIX (MILK FAT AND NON FAT MILK. SUGAR, CORN SYRUP. MONO AND DIGLYCERIDES, CELLULOSE GUM, GUAR GUM,POLYSORBATE 80 CARRAGEENAN), WATER, SUGAR,CHOCOLATE (HIGH FRUCTOSE CORN SYRUP. CORN SYRUP. WATER, COCOA, SUGAR, CONTAINS 2% OR LESS OF: POTASSIUM SORBATE (PRESERVATIVE), SALT, MONO AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 60, VANILLIN AND ARTIFICIAL FLAVOR) AND STABILIZER (XANTHAN GUM, GUAR GUM, STANDARDIZED WITH DEXTROSE).  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS  CONTAINING PEANUTS, TREE NUTS, SOY, WHEAT AND MILK.  CONTAINS: MILK  Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","0 units","Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling..","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 20003 6;  no lot codes  Distributed 10-8 to10-16-2015.   lot number ¿281 15 03¿"
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0446-2016","Class I","Helados La Tapatia Creamy Fruit Bars;  Banana Platano; Net Wt. 3 FL oz;   UPC 6 34242 20004 3;    INGREDIENTS FOR MILK BARS:  ICE CREAM MIX (MILK FAT AND NON FAT MILK, SUGAR, CORN SYRUP,  MONO AND DIGLYCERIDES,CELLULOSE GUM,GUAR GUM, POLYSORBATE  80, CARRAGEENAN), WATER, FRESH BANANAS, SUGAR, STABILIZER  (XANTHAN GUM, GUAR GUM, STANDARDIZED WITH DEXTROSE),  YELLOW 5 (WATER, YELLOW 5 AND BLUE 1, CITRIC ACID AND SODIUM  BENZOATE (A PRESERVATIVE)) AND RED 40 (WATER, FD&C YELLOW #5,  FD&C RED #40, CITRIC ACID AND SODIUM BENZOATE (PRESERVATIVE)).  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS  CONTAINING PEANUTS, TREE NUTS, SOY, WHEAT AND MILK.  CONTAINS: MILK, FD&C YELLOW #5    Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","0 units","Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling..","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 20004 3;  no lot codes  Distributed 10-8 to10-16-2015.   lot number ¿281 15 04¿"
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0447-2016","Class I","Helados La Tapatia Creamy Fruit Bars;  Vanilla vainilla; Net Wt. 3 FL oz;   UPC 6 34242 20005 0;    INGREDIENTS FOR MILK BARS:  ICE CREAM MIX (MILK FAT AND NON FAT MILK, SUGAR, CORN SYRUP, MONO  AND DIGLYCERIDES, CELLULOSE GUM, GUAR GUM, POLYSORBATE 80  CARRAGEENAN), WATER, SUGAR, STABILIZER (XANTHAN GUM, GUAR GUM,  STANDARDIZED WITH DEXTROSE), YELLOW 5 (WATER, FD&C YELLOW #5, FD&C RED #40,CITRIC ACID AND SODIUM BENZOATE (PRESERVATIVE)) ,AND RED 40 (WATER, YELLOW 5 AND BLUE 1, CITRIC ACID, AND SODIUM BENZOATE (A PRESERVATIVE)), NATURAL VANILLA AND RAISINS.  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS  CONTAINING PEANUTS, TREE NUTS, SOY, WHEAT AND MILK.  CONTAINS: MILK, FD&C YELLOW #5      Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","0 units","Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling.","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 20005 0;   Distributed 10-8 to10-16-2015.   lot number ¿287 15 03¿¿"
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0448-2016","Class I","Helados La Tapatia Creamy Fruit Bars;  Cookies ""n"" Cream; Net Wt. 3 FL oz;   UPC 6 34242 20010 4;  INGREDIENTS FOR MILK BARS:  ICE CREAM MIX (MILK FAT AND NON FAT MILK, SUGAR, CORN SYRUP, MONO AND DIGLYCERIDES, CELLULOSE GUM, GUAR GUM, POLYSORBATE 80, CARRAGEENAN}, CHOCOLATE COOKIES (ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE (VITAMIN B1 RIBOFLAVIN (VITAMIN 82), FOLIC AOD), SOYBEAN AND PALM OIL WITH TBHQ FOR FRESHNESS, COCOA PROCESSED WITH ALKALI, INVERT SUGAR CONTAINS TWO PERCENT OF LESS OF DEGERMINATED YELLOW CORN FLOUR, CORNSTARCH, CHOCOLATE, SALT, LEAVENING BAKING SODA, MONOCALCIUM PHOSPHATE) ARTIFICIAL FLAVOR, SOY LECITHIN, WHEY), SUGAR AND STABILIZER (XANTHAN GUM, GUAR GUM,STANDARDIZED WITH DEXTROSE).  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS  CONTAINING PEANUTS, TREE NUTS, SOY, WHEAT AND MILK.  CONTAINS: MILK, WHEAT AND SOY      Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","0 units","Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling..","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 20010 4;   Distributed 10-8 to10-16-2015.   lot number ¿282 15 03¿¿,  lot number ¿288 15 02¿"
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0449-2016","Class I","Helados La Tapatia Creamy Fruit Bars;  Esquimal eskimo; Net Wt. 3 FL oz;   UPC 6 34242 20012 8;    INGREDIENTS: ICE CREAM MIX (CREAM, MILK, NONFAT MILK SOLIDS, STABILIZER (LOCUST BEAN GUM, GUAR GUM)), WATER, SUGAR, VANILLA FLAVOR (PROPYLENE GLYCOL, WATER AND CARAMEL COLOR), YUKON CHOCOLATE (COCONUT OIL, SUGAR, COCOA POWDER, WHEY POWDER (MILK) SOY LECITHIN ADDED AS AN EMULSIFIER AND VANILLA), STABILIZER  (XANTHAN GUM, GUAR GUM, ""STANDARDIZED WITH DEXTROSE), CORN OIL, PEANUTS AND YELLOW COLOR (WATER, FD&C YELLOW 5, FD&C RED 40, CITRIC ACID, SODIUM BENZOATE AS A PRESERVATIVE).  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS CONTAINING PEANUTS, TREE NUTS, SOY, WHEAT AND MILK.  CONTAINS: MILK, PEANUTS AND FD&C YELLOW 5 AND SOY.    Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","0 units","Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling.","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 20012 8;   Distributed 10-8 to10-16-2015.   lot number ¿289 15 04¿¿"
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0450-2016","Class I","Helados La Tapatia Creamy Fruit Bars;  Pina Colada; Net Wt. 3 FL oz;   UPC 6 34242 20014 2;    INGREDIENTS FOR MILK BARS:  ICE CREAM MIX  (MILK  FAT AND  NON FAT MILK, SUGAR,CORN SYRUP. MONO AND DIGLYCERIDES, CELLULOSE GUM,GUAR GUM,POLYSORBATE 80 CARRAGEENAN),WATER,SUGAR,FRESH COCONUT, FRESH PINEAPPLE. COCONUT  FLAVOR (WATER,SUCROSE,VEGETABLE OIL (COCONUT), MODIFIED CORNSTARCH,ARTIFICIAL FLAVORINGS,BROMINATED VEGETABLE OIL 0.03% ANHYDROUS CITRIC ACID, SODIUM   BENZOATE   (PRESERVATIVE), PROPYLENE  GLYCOL,  AND  ANTIFOAM), PINEAPPLE FLAVOR (PROPYLENE GLYCOL  AND ETHANOL),CHERRIES,STABILIZER (XANTHAN GUM,GUAR GUM, STANDARDIZED WITH DEXTROSE),YELLOW 5 (WATER,FD&C YELLOW #5,FD&C RED #40,CITRIC ACID, AND SODIUM BENZOATE (PRESERVATIVE)),AND RED 40   (WATER,YEllOW 5 AND BLUE l,CITRIC ACID AND SODIUM BENZOATE (PRESERVATIVE)).  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS CONTAINING PEANUTS,TREE NUTS,SOY,WHEAT AND MILK.   CONTAINS:MILK AND FD&C YELLOW #5        Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","0 units","Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling.","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 20014 2;   Distributed 10-8 to10-16-2015.   lot number ¿288 15 01¿¿"
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0451-2016","Class I","Helados La Tapatia Creamy Fruit Bars;  Pecan Nuez; Net Wt. 3 FL oz;   UPC 6 34242 20007 4;    INGREDIENTS FOR MILK BARS:  ICE CREAM MIX (MILK FAT AND NON FAT MILK, SUGAR, CORN  SYRUP, MONO AND DIGLYCERIDES, CELLULOSE GUM, GUAR GUM,  POLYSORBATE 80 CARRAGEENAN), WATER, SUGAR, MAPLE BUTTER  FLAVOR (PROPYLENE GLYCOL, WATER AND GLYCERIN), STABILIZER  (XANTHAN GUM, GUAR GUM, STANDARDIZED WITH DEXTROSE),  CARAMEL COLOR AND NATURAL FRESH PECANS.  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS  CONTAINING PEANUTS, TREE NUTS, SOY, WHEAT AND MILK.  CONTAINS: MILK, PECANS      Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","0 units","Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling..","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 20007 4;   Distributed 10-8 to10-16-2015.   lot number ¿287 15 01¿"
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0452-2016","Class I","Helados La Tapatia Creamy Fruit Bars;  All Natural Rice Arroz; Net Wt. 3 FL oz;   UPC 6 34242 20008 1;    INGREDIENTS FOR MILK BARS:  ICE CREAM MIX (CREAM, MILK, FRESH CONDENSED  SKIM MILK, SUCROSE, CORN SYRUP, DESSERT SOLIDS  (WHEY, REDUCED LACTOSE, WHEY AND NON FAT  DRIED MILK) AND STABILIZER {GUAR GUM, MONO, AND  DIGLYCERIDES), CALCIUM SORBATE, POLYSORBATE 40,  CELLULOSE GUM AND CARRAGENAN), WATER, RICE,  SUGAR, CINNAMON, AND RAISINS.  PROCESSED IN A FACILITY THAT PROCESSES NUTS.    Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","0 units","Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling.","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 20008 1;   Distributed 10-8 to10-16-2015.   lot number ¿285 15 01¿¿"
