Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info
"Veterinary","No","08/22/2019","80582","Terminated","Gilman Cooperative Creamery Association","9920 115th Street NE","","Gilman","MN","	56333","United States","Voluntary: Firm initiated","Telephone","MN","V-0223-2019","Class I","Blend 985 Horse Mix Start","2,000 lbs.","Horse Feed may contain Monensin residue","06/15/2018","08/22/2019","09/10/2019","02/27/2019","Ticket # 445"
"Food","No","","81963","Terminated","Satur Farms LLC","4195 Middle Country Rd","","Calverton","NY","	11933-1172","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Direct to NY, FL, CT, and NJ","F-0943-2019","Class I","SATUR FARMS BABY SPINACH  Retail product is packed in plastic clamshell containers with Satur Farms brand name:  5 oz, 10 oz, 16 oz  Food service product is packed in sealed poly bags:  2-1/2 lbs, 3#, 4#, 4 x 2.5#, 4 x 3#","17755.5 pounds (total for all products)","Product may be contaminated with Salmonella.","01/23/2019","02/19/2019","02/27/2019","02/27/2019","Lot #18494 and 18513"
"Food","No","","81963","Terminated","Satur Farms LLC","4195 Middle Country Rd","","Calverton","NY","	11933-1172","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Direct to NY, FL, CT, and NJ","F-0944-2019","Class I","SATUR FARMS MESCLUN SALAD  Retail product is packaged in clamshell containers with Satur Farms Brand Name: 5 oz, 10 oz, 16 oz  Food service product is packed in sealed poly bags:  2-1/2 lbs, 3#, 4#, 4 x 2.5#, 4 x 3#","17755.5 pounds (total for all products)","Product may be contaminated with Salmonella.","01/23/2019","02/19/2019","02/27/2019","02/27/2019","Lot# 18520"
"Food","No","","81986","Terminated","The Boston Smoked Fish Company LLC","212 Northern Ave","","Boston","MA","	02210-2089","United States","Voluntary: Firm initiated","E-Mail","MA","F-1050-2019","Class I","BOSTON SMOKED FISH CO. Nova Lox Sides, 5 packages of 2 pound units in corrugated box, Store at or below 38 deg, UPC: (01)90857016007065(3202)100000","29.45 lbs.","Low water phase salt.","01/25/2019","02/21/2019","02/22/2019","02/27/2019","NL114"
"Veterinary","No","10/17/2019","82005","Terminated","Land O'Lakes, Inc.","4001 Lexington Ave N","","Arden Hills","MN","	55126-2934","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","AR, LA, MN, OK, TX","V-0156-2020","Class I","Purina Honor Show Chow ShowLamb Grower 15% DX Medicated Type C Medicated Feed. Net Weight 50 lb. (22.67 kg), Item No. 3004494-506.  Formula No. 552S.  UPC 04273-05531.  Active Drug Ingredients:  Decoquinate 0.0017% (7.6 mg/lb).  Manufactured by:  Purina Animal Nutrition LLC, 1080 County Road F West, Shoreview, MN  55126.","1275 - 50 lb. bags","Honor Show Chow ShowLamb Grower is being recalled due to elevated copper levels.","12/28/2018","10/17/2019","10/18/2019","02/27/2019","Lot Number:  8SEP10WIL1, 8SEP18WIL1"
"Devices","No","","78190","Completed","Leica Microsystems, Inc.","1700 Leider Ln","","Buffalo Grove","IL","	60089-6622","United States","Voluntary: Firm initiated","Letter","Worldwide","Z-0838-2019","Class II","PROVEO 8 Ophthalmic Microscope System  optical instrument for improving the visibility of objects through magnification and illumination. It can be applied for observation and documentation and for human and veterinary medical treatment.  ","142 units","The observed issues can lead to unexpected interruptions of the optics carrier focus drive movement, intermittent stops of the X-Y coupling movement or sporadic failures in the proper on-screen display functionality of the HDR recording unit.  Additionally, an anomaly in the device software may also lead to the unexpected behavior that when a user releases a handle or foot switch button this may not immediately end the actuated functionality. This behavior can only occur in unlikely workflows where a user changes a user profile or a mode change is initiated at the same time as a functional button is activated.","09/25/2017","02/15/2019","","02/27/2019","Serial Numbers:  190216001; 060516001; 280916001; 061216001; 091216001; 301015001; 270516001; 180716001; 180716002; 190716001; 141016001; 211016001; 241016001; 261016001; 030317001; 060317001; 011216001; 020317001; 130716002; 100316001; 230216001; 041115001; 021115001; 270416001; 130516001; 160516001; 240516001; 220217001; 100417001; 131115001; 071216001; 100816001; 300816001; 231116001; 121216001; 100816001; 130616001; 081216001; 131216001; 140317001; 310816001; 160816001; 130117001; 060217001; 230317001; 280317001; 050417001; 170117001; 190416001; 070415004; 050516001; 090516001; 170516001; 020816001; 040816001; 111016001; 131116001; 150217001; 211116001; 090217001; 081116001; 020616001; 050117001; 031216001; 020416001; 010317001; 280416001; 271216001; 251115001; 250316001; 231216001; 230916001; 230217001; 260416001; 030616001; 080616001; 080316001; 250116001; 181016001; 220316001; 130716002; 201116001; 200217001; 180416001; 201216001; 170117002; 150116001; 121115001; 110316001; 060616001; 270217001; 090317001; 160317001; 190217001; 140716002; 101016001; 161115001; 190116001; 130116001; 010316001; 020217001; 121016001; 141016001; 161216001; 171216001; 180116001; 260516001; 300516001; 200716001; 260716001; 191116001; 171116001; 251116001; 131216001; 220416001; 281016001; 011116001; 270116001; 060416001; 231115001; 301015003; 301015002; 280116001; 150216001; 180216001; 290416001; 040516001; 190516001; 230516001; 250516001; 280616001; 300616001; 200616001; 230616001; 140716001; 130716001; 010916001; 050916001; 100117001; 260116001; 101116001; 041216001"
"Devices","No","","80829","Ongoing","Smiths Medical ASD Inc.","6000 Nathan Ln N","","Minneapolis","MN","	55442-1690","United States","Voluntary: Firm initiated","Letter","Distribution was nationwide, including Puerto Rico.  There was also military/government distribution.  Foreign distribution was made to Canada, United Arab Emirates, Bahamas, Costa Rica, Latvia, and Saudi Arabia.","Z-0842-2019","Class II","Aplicare Povidone Iodine Prep Pads packaged within Portex Pro-Vent Arterial Blood Sampling Kit with Dry Lithium Heparin for Gases and Electrolytes, models 4589P-1, 4591EG-1, 4591P-1, 4599P-1, 4611LH, 4611P-1, 4620EG-1, 4620P-1, 4640LH, 4640P-1, 4649P-1, 4660EG-1, 4660P-1, 4699LH, 4699P-1, G1325, G1412, G1481, G1509, G1548, G1581, G1586, G1602, G1627, G1632, G1634, G1671, G1675, G1716, G1724, G1773, and G1807.  The firm name on the label is Smiths Medical ASD, Inc., Keene, NH.","Approx. 28,578,939 kits for both products","The povidone iodine prep pads packaged with the arterial blood sampling kits will not maintain the iodine potency through its labeled 36-month expiration dating.","06/22/2018","02/15/2019","","02/27/2019","Product with expiration dates between 11/30/2016 and 5/31/2020."
"Devices","No","","80829","Ongoing","Smiths Medical ASD Inc.","6000 Nathan Ln N","","Minneapolis","MN","	55442-1690","United States","Voluntary: Firm initiated","Letter","Distribution was nationwide, including Puerto Rico.  There was also military/government distribution.  Foreign distribution was made to Canada, United Arab Emirates, Bahamas, Costa Rica, Latvia, and Saudi Arabia.","Z-0843-2019","Class II","Aplicare Povidone Iodine Prep Pads packaged within Portex Pulsator Arterial Blood Sampling Kit with Liquid Sodium Heparin, models 4037NP-1, 4039-1, 4039EG-1, 4044EG-1, 4044P-1, 4057NP-1, 4067NP-1, 4077EG-1, 4077NP-1, 4084P-1, G1193, G1374, G1585, G1589, G1598, G1621, and G1806.  The firm name on the label is Smiths Medical ASD, Inc., Keene, NH.","Approx. 28,578,939 kits for both products","The povidone iodine prep pads packaged with the arterial blood sampling kits will not maintain the iodine potency through its labeled 36-month expiration dating.","06/22/2018","02/15/2019","","02/27/2019","Product with expiration dates between 11/30/2016 and 5/31/2020."
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0945-2019","Class II","Packer Apple Fresh Slices","2","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #8205072"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0946-2019","Class II","Packer Apple Red Slice & Grape Buddie","2","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #2396261"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0947-2019","Class II","Packer Arugula Baby Organic","2","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #4884724"
