Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Devices","No","","78315","Ongoing","Monteris Medical Corp","14755 27th Ave N Ste C","","Plymouth","MN","	55447-4866","United States","Voluntary: Firm initiated","Letter","Nationwide and Canada","Z-0194-2018","Class I","MONTERIS MEDICAL NEUROBLATE SYSTEM, used for  MRI-guided neurosurgical ablation.","52 systems","The firm received complaints that involved an unanticipated interaction between a NeuroBlate system and 1.5 Tesla (1.ST) MRI systems.","10/05/2017","03/20/2018","","03/28/2018","All serial numbers"
"Food","No","","79179","Ongoing","WEIS MARKETS","1000 S 2nd St","","Sunbury","PA","	17801-3318","United States","Voluntary: Firm initiated","E-Mail","DE, MD, NJ, NY, PA, VA, WV","F-0933-2018","Class I","Weis Sunbury, PA 17801; Penne W/Asiago Sauce And Grilled Chix Small Meal; multiple weight. SCALE UPC - 205377-00000","approx. 110 units","Penne W/Asiago Sauce and Grilled Chix Small Meal is recalled due to undeclared milk.","02/08/2018","03/19/2018","","03/28/2018","Any date with SCALE UPC - 205377-00000"
"Devices","No","","79223","Completed","Becton Dickinson & Company","1 Becton Dr","","Franklin Lakes","NJ","	07417-1815","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in 46 states: AL, AR, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, NV, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, and Puerto Rico.","Z-1139-2018","Class I","BD Vacutainer¿ EDTA Lavender Top Tubes: Catalog Numbers: 1. 366401 (UDI: 50382903664011); 2. 366450 (UDI: 50382903664509); 3. 366643 (UDI: 50382903666435); 4. 367835 (UDI: 50382903678353); 5. 367841 (UDI: 50382903678414); 6. 367844 (UDI: 50382903678445); 7. 367856 (UDI: 50382903678568); 8. 367861 (UDI: 50382903678612); 9. 367862 (UDI: 50382903678629); 10. 367863 (UDI: 50382903678636); 11. 368021 (UDI: 50382903680219); 12. 368047 (UDI: 50382903680479); 13. 368054 (UDI: 50382903680547); 14. 368661 (UDI: 50382903686617); 15. 364300 (UDI: pre-UDI)","1,116,012,050","BD Vacutainer EDTA Lavender, Tan, and Pink Top Tubes and BD Vacutainer Lithium Heparin Green Top Tubes can cause an underestimation of lead in blood samples when used with Magellan Diagnostics LeadCare assays, employing the Anodic Stripping Voltammetry (ASV) methodology, or any other assay employing ASV methodology.","03/22/2018","03/22/2018","","03/28/2018","All lots. Catalog Number (Shelf Life): 1. 366401 (24 months); 2. 366450 (24 months); 3. 366643 (12 months); 4. 367835 (16 months); 5. 367841 (15 months); 6. 367844 (16 months); 7. 367856 (16 months); 8. 367861 (16 months); 9. 367862 (16 months); 10. 367863 (17 months); 11. 368021 (16 months); 12. 368047 (15 months); 13. 368054 (16 months); 14. 368661 (17 months); 15. 364300 (Requested)"
"Devices","No","","79223","Completed","Becton Dickinson & Company","1 Becton Dr","","Franklin Lakes","NJ","	07417-1815","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in 46 states: AL, AR, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, NV, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, and Puerto Rico.","Z-1140-2018","Class I","BD Vacutainer¿ EDTA Tan Top Tube; Catalog Number: 367855 (UDI: 50382903678551)","3,956,900","BD Vacutainer EDTA Lavender, Tan, and Pink Top Tubes and BD Vacutainer Lithium Heparin Green Top Tubes can cause an underestimation of lead in blood samples when used with Magellan Diagnostics LeadCare assays, employing the Anodic Stripping Voltammetry (ASV) methodology, or any other assay employing ASV methodology.","03/22/2018","03/22/2018","","03/28/2018","All lots"
"Devices","No","","79223","Completed","Becton Dickinson & Company","1 Becton Dr","","Franklin Lakes","NJ","	07417-1815","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in 46 states: AL, AR, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, NV, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, and Puerto Rico.","Z-1141-2018","Class I","BD Vacutainer¿ EDTA Pink Top Tube; Catalog Numbers: 1. 367842 (UDI: 50382903678421); 2. 367899 (UDI: 50382903678995); 3. 368049 (UDI: 50382903680493); 4. 368589 (UDI: 50382903685894)","64,784,900","BD Vacutainer EDTA Lavender, Tan, and Pink Top Tubes and BD Vacutainer Lithium Heparin Green Top Tubes can cause an underestimation of lead in blood samples when used with Magellan Diagnostics LeadCare assays, employing the Anodic Stripping Voltammetry (ASV) methodology, or any other assay employing ASV methodology.","03/22/2018","03/22/2018","","03/28/2018","All lots. Catalog Number (Shelf Life): 1. 367842 (Requested); 2. 367899 (Requested); 3. 368049 (Requested); 4. 368589 (Requested)"
"Devices","No","","79223","Completed","Becton Dickinson & Company","1 Becton Dr","","Franklin Lakes","NJ","	07417-1815","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in 46 states: AL, AR, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, NV, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, and Puerto Rico.","Z-1142-2018","Class I","BD Vacutainer¿ Lithium Heparin Green Top Tube; Catalog Numbers: 1. 366664 (UDI: 50382903666640); 2. 367884 (UDI: 50382903678841); 3. 367886 (UDI: 50382903678865); 4. 368040 (UDI: 50382903680400); 5. 366667 (UDI: 50382903666671); 6. 367880 (UDI: 50382903678803)","117,816,603","BD Vacutainer EDTA Lavender, Tan, and Pink Top Tubes and BD Vacutainer Lithium Heparin Green Top Tubes can cause an underestimation of lead in blood samples when used with Magellan Diagnostics LeadCare assays, employing the Anodic Stripping Voltammetry (ASV) methodology, or any other assay employing ASV methodology.","03/22/2018","03/22/2018","","03/28/2018","All lots. Catalog Number (Shelf Life): 1. 366664 (Requested); 2. 367884 (Requested); 3. 367886 (Requested); 4. 368040 (Requested); 5. 366667 (Requested); 6. 367880 (Requested)"
"Food","No","","79467","Terminated","WEIS MARKETS","1000 S 2nd St","","Sunbury","PA","	17801-3318","United States","Voluntary: Firm initiated","E-Mail","NY, PA","F-0935-2018","Class I","Dried Beef Party Rye  Dip; Ingredients: Hellman's Mayonaise, Sour Cream, Dried Beef (Cured with Water, Salt, Sugar,  Sodium Nitrate, Sodium Nitrite), Parsley, Onion, Dill Weed; SELL BY date up to 3/11/18","300 units","Label did not list sub-ingredients for mayo and sour cream. It contains undeclared egg and milk. The firm found a 2nd PLU which was not corrected. Recall of Weis Dried Beef Party Rye Dip was expanded to include 2nd PLU.","03/01/2018","03/21/2018","10/12/2018","03/28/2018","Sell by date range of 2/15/18  to 3/11/18"
"Food","No","","79477","Ongoing","Avalon Packaging","50 N Geneva Rd","","Orem","UT","	84057-4402","United States","Voluntary: Firm initiated","Telephone","Sold to Label owner in UT.","F-0996-2018","Class I","NXTGEN Botanicals, Maeng Da Kratom, Dietary Supplement, 70 Capsules, Made in the U.S.A","1108 bottles","Avalon Packaging is recalling NXTGEN Kratom because of the potential for Salmonella contamination.","03/09/2018","04/04/2018","","03/28/2018","Lot 171409"
"Food","No","09/13/2018","79480","Terminated","Pdx Aromatics","2170 N Lewis Ave Ste 250","","Portland","OR","	97227-1708","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distributed throughout the U.S.","F-1523-2018","Class I","RED Vein Kratom POWDER, sold under brand names Kraken Kratom, Phytoextractum, and Soul Speciosa. The powder is packaged in plastic heat sealed pouches. Each package sold in 28 grams (1 ounce), 56 grams (2 ounces), and 112 grams (4 ounces).  The varieties under each brand include:    -Maeng Da Thai Kratom Powder (Horn Red)  -Red Dragon Kratom Powder  -Red Vein Borneo Kratom Powder  -Red Vein Sumatra Kratom Powder  -Red Vein Thai Kratom Powder  -Super Indo Kratom Powder          ","18572 packages","Kraken Kratom, Phytoextractum, and Soul Speciosa products containing Red Vein Kratom Powder are recalled due to potential contamination with Salmonella.","03/09/2018","06/04/2018","09/13/2018","03/28/2018","The lot code represents the day packaged.  The first four digits are the year, followed by two digits for the month, followed by two digits for the day.        LOT 20180118  LOT 20180119  LOT 20180120  LOT 20180121  LOT 20180122  LOT 20180123  LOT 20180124  LOT 20180125  LOT 20180126  LOT 20180127  LOT 20180128  LOT 20180129  LOT 20180130  LOT 20180131  LOT 20180201  LOT 20180201  LOT 20180202  LOT 20180203  LOT 20180204  LOT 20180205  LOT 20180206  LOT 20180207  LOT 20180208  LOT 20180209  LOT 20180210  LOT 20180211  LOT 20180212  LOT 20180213  LOT 20180214  LOT 20180215  LOT 20180216  LOT 20180217  LOT 20180218    EXPANDED (on 3/16/18) recalled red vein products have the following lot numbers:    LOT 20180219  LOT 20180220  LOT 20180221  LOT 20180222  LOT 20180223  LOT 20180224  LOT 20180225  LOT 20180226  LOT 20180227  LOT 20180228  LOT 20180301  LOT 20180302  LOT 20180303  LOT 20180304  LOT 20180305  LOT 20180306  LOT 20180307  LOT 20180308    *************************************************************************  Second EXPANDED (3/22/18) recalled red vein powder have the following lot numbers:    LOT 20171201  LOT 20171202  LOT 20171203  LOT 20171204  LOT 20171205  LOT 20171206  LOT 20171207  LOT 20171208  LOT 20171209  LOT 20171210  LOT 20171211  LOT 20171212  LOT 20171213  LOT 20171214  LOT 20171215  LOT 20171216  LOT 20171217  LOT 20171218  LOT 20171219  LOT 20171220  LOT 20171221  LOT 20171222  LOT 20171223  LOT 20171224  LOT 20171225  LOT 20171226  LOT 20171227  LOT 20171228  LOT 20171229  LOT 20171230  LOT 20171231  LOT 20180101  LOT 20180102  LOT 20180103  LOT 20180104  LOT 20180105  LOT 20180106  LOT 20180107  LOT 20180108  LOT 20180109  LOT 20180110  LOT 20180111  LOT 20180112  LOT 20180113  LOT 20180114  LOT 20180115  LOT 20180116  LOT 20180117  LOT 20180118  LOT 20180119  LOT 20180120  LOT 20180121  LOT 20180122  LOT 20180122  LOT 20180124  LOT 20180125  LOT 20180126  LOT 20180127  LOT 20180128  LOT 20180129  LOT 20180130  LOT 20180131  LOT 20180201  LOT 20180202  LOT 20180203  LOT 20180204  LOT 20180205  LOT 20180206  LOT 20180207  LOT 20180208  LOT 20180209  LOT 20180210  LOT 20180211  LOT 20180212  LOT 20180213  LOT 20180214  LOT 20180215  LOT 20180216  LOT 20180217  LOT 20180218  LOT 20180219  LOT 20180220  LOT 20180221  LOT 20180222  LOT 20180223  LOT 20180224  LOT 20180225  LOT 20180226  LOT 20180227  LOT 20180228  LOT 20180301  LOT 20180302  LOT 20180303  LOT 20180304  LOT 20180305  LOT 20180306  LOT 20180307  LOT 20180308"
"Food","No","09/13/2018","79480","Terminated","Pdx Aromatics","2170 N Lewis Ave Ste 250","","Portland","OR","	97227-1708","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distributed throughout the U.S.","F-1524-2018","Class I","WHITE VEIN Kratom POWDER, sold under brand names Kraken Kratom, Phytoextractum, and Soul Speciosa. The powder is packaged in plastic heat sealed pouches. Each package sold in 28 grams (1 ounce), 56 grams (2 ounces), 112 grams (4 ounces), and 225 grams.  The varieties under each brand include:    Kraken Kratom	Maeng Da Thai Kratom Powder (White Vein)  Kraken Kratom	White Vein Borneo Kratom Powder  Kraken Kratom	White Vein Sumatra Powder  Phytoextractum	White Maeng Da Powder (including 225 g)  Phytoextractum	White Borneo Powder (including 225 g)  Phytoextractum	White Vein Sumatra Powder  Soul Speciosa	        Borneo Kratom Powder (White Vein)  Soul Speciosa	        Sumatra Kratom Powder (White Vein)          ","4,676 packages total","Kraken Kratom, Phytoextractum, and Soul Speciosa products containing WHITE VEIN Kratom Powder are recalled due to potential contamination with Salmonella.","03/09/2018","06/04/2018","09/13/2018","03/28/2018","The lot code represents the day packaged.  The first four digits are the year, followed by two digits for the month, followed by two digits for the day.      LOT 20180216  LOT 20180217  LOT 20180218  LOT 20180219  LOT 20180220  LOT 20180221  LOT 20180222  LOT 20180223  LOT 20180224  LOT 20180225  LOT 20180226  LOT 20180227  LOT 20180228  LOT 20180301  LOT 20180302  LOT 20180303  LOT 20180304  LOT 20180305  LOT 20180306  LOT 20180307  LOT 20180308"
"Food","No","","79480","Terminated","Pdx Aromatics","2170 N Lewis Ave Ste 250","","Portland","OR","	97227-1708","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distributed throughout the U.S.","F-1525-2018","Class I","WHITE VEIN Kratom CAPSULES, sold under brand names Kraken Kratom, Phytoextractum, and Soul Speciosa.     The capsules are packaged in plastic heat sealed pouches. Each package sold in 28 grams (1 ounce), 56 grams (2 ounces), 112 grams (4 ounces).  The varieties under each brand include:    Kraken Kratom	White Vein Borneo Kratom Capsules  Phytoextractum	White Maeng Da Thai Capsules  Soul Speciosa	        White Vein Borneo Kratom Capsules","1097 packages total","Kraken Kratom, Phytoextractum, and Soul Speciosa WHITE VEIN Kratom CAPSULES are recalled due to potential contamination with Salmonella.","03/09/2018","06/04/2018","09/13/2018","03/28/2018","The lot code represents the day packaged.  The first four digits are the year, followed by two digits for the month, followed by two digits for the day.      LOT 20180216  LOT 20180217  LOT 20180218  LOT 20180219  LOT 20180220  LOT 20180221  LOT 20180222  LOT 20180223  LOT 20180224  LOT 20180225  LOT 20180226  LOT 20180227  LOT 20180228  LOT 20180301  LOT 20180302  LOT 20180303  LOT 20180304  LOT 20180305  LOT 20180306  LOT 20180307  LOT 20180308"
"Food","No","","79480","Terminated","Pdx Aromatics","2170 N Lewis Ave Ste 250","","Portland","OR","	97227-1708","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distributed throughout the U.S.","F-1526-2018","Class I","GREEN Kratom CAPSULES, sold under brand names Kraken Kratom, Phytoextractum, and Soul Speciosa.     The capsules are packaged in plastic heat sealed pouches. Each package sold in 28 grams (1 ounce), 56 grams (2 ounces), 112 grams (4 ounces).  The varieties under each brand include:    Kraken Kratom Bali Capsules  Phytoextractum OG Bali Capsules  Soul Speciosa Bali Capsules","3197 packages","Kraken Kratom, Phytoextractum, and Soul Speciosa GREEN VEIN Kratom CAPSULES are recalled due to potential contamination with Salmonella.","03/09/2018","06/04/2018","09/13/2018","03/28/2018","The lot code represents the day packaged.  The first four digits are the year, followed by two digits for the month, followed by two digits for the day.      LOT 20180209  LOT 20180210  LOT 20180211  LOT 20180212  LOT 20180213  LOT 20180214  LOT 20180215  LOT 20180216  LOT 20180217  LOT 20180218  LOT 20180219  LOT 20180220  LOT 20180221  LOT 20180222  LOT 20180223  LOT 20180224  LOT 20180225  LOT 20180226  LOT 20180227  LOT 20180228   LOT 20180301   LOT 20180302   LOT 20180303   LOT 20180304   LOT 20180305   LOT 20180306   LOT 20180307   LOT 20180308"
"Food","No","","79480","Terminated","Pdx Aromatics","2170 N Lewis Ave Ste 250","","Portland","OR","	97227-1708","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distributed throughout the U.S.","F-1527-2018","Class I","GREEN Kratom POWDER, sold under brand names Kraken Kratom, Phytoextractum, and Soul Speciosa.     The powder are packaged in plastic heat sealed pouches. Each package sold in 28 grams (1 ounce), 56 grams (2 ounces), 112 grams (4 ounces).  The varieties under each brand include:    Kraken Kratom	OG Bali Powder  Kraken Kratom	Super Green Malaysian Kratom Powder  Phytoextractum	OG Bali Powder  Phytoextractum	Green Vein Thai Kratom Powder  Phytoextractum	Super Green Malaysian Kratom Powder  Soul Speciosa	        OG Bali Powder  Soul Speciosa	        Thai Kratom Powder (Green Vein)  Soul Speciosa	        Super Green Malaysian Kratom Powder    ","20,546 pkgs.","Kraken Kratom, Phytoextractum, and Soul Speciosa GREEN VEIN Kratom POWDER are recalled due to potential contamination with Salmonella.","03/09/2018","06/04/2018","09/13/2018","03/28/2018","The lot code represents the day packaged.  The first four digits are the year, followed by two digits for the month, followed by two digits for the day.      LOT 20180209  LOT 20180210  LOT 20180211  LOT 20180212  LOT 20180213  LOT 20180214  LOT 20180215  LOT 20180216  LOT 20180217  LOT 20180218  LOT 20180219  LOT 20180220  LOT 20180221  LOT 20180222  LOT 20180223  LOT 20180224  LOT 20180225  LOT 20180226  LOT 20180227  LOT 20180228   LOT 20180301   LOT 20180302   LOT 20180303   LOT 20180304   LOT 20180305   LOT 20180306   LOT 20180307   LOT 20180308      Additionally, the GREEN VEIN powder products EXCEPT OG Bali Powder listed below have any of the following LOT codes:    LOT 20170918  LOT 20170919  LOT 20170920  LOT 20170921  LOT 20170922  LOT 20170923  LOT 20170924  LOT 20170925  LOT 20170926  LOT 20170927  LOT 20170928  LOT 20170929  LOT 20170930  LOT 20171001  LOT 20171002  LOT 20171003  LOT 20171004  LOT 20171005  LOT 20171006  LOT 20171007  LOT 20171008  LOT 20171009  LOT 20171010  LOT 20171011   LOT 20171012   LOT 20171013   LOT 20171014   LOT 20171015   LOT 20171016   LOT 20171017   LOT 20171018   LOT 20171019   LOT 20171020   LOT 20171021   LOT 20171022   LOT 20171023   LOT 20171024   LOT 20171025   LOT 20171026   LOT 20171027   LOT 20171028   LOT 20171029   LOT 20171030   LOT 20171031   LOT 20171101"
