Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info
"Food","No","","70059","Terminated","The Santa Barbara Smokehouse, Inc.","312 N Nopal St","","Santa Barbara","CA","	93103-3225","United States","Voluntary: Firm initiated","E-Mail","All products were sold to distributors located within the U.S. (CA, TX, AZ, NV, OR, NY, IL).  Distributors sells these products to food service facilities.  Some of these food service facilities provide food for airlines.  The firm confirmed that none of the products were sold as retail packs/sold as is directly to consumers.","F-2270-2015","Class I","Cambridge House  Balmoral  Thinly Sliced Exceptional Ready to Enjoy  Smoked Salmon  Keep Refrigerated at 38 or below  Ingredients  Atlantic Salmon, Salt, Sugar, and Oakwood Smoke  Produced By:  The Santa Barbara Smokehouse  312 N. Nopal  Santa Barbara, CA 93103  www.sbsmokehouse.com    Coastal Harbor  by The Santa Barbara Smokehouse  Smoked Atlantic Salmon  Keep Refrigerated at 38 or below  Ingredients  Atlantic Salmon, Salt, Sugar, and Oakwood Smoke  Produced By:  The Santa Barbara Smokehouse  312 N. Nopal  Santa Barbara, CA 93103  www.sbsmokehouse.com    Products are distributed either refrigerated or frozen.  All products are packaged in reduced oxygen packaging (ROP).  Net weight appears to vary per package.  Products are priced per weight.","Batch 6549: 2,224 lbs. and Batch 8589: 1,188.44 lbs.","The firm was notified by two customers of two lot/batch numbers testing positive for Listeria monocytogenes which is an organism that can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems.  Although healthy individuals may suffer only short-term symptoms such as high fever, severe headache, stiffness, nausea, abdominal","11/28/2014","05/12/2015","12/15/2015","05/20/2015","Batch Numbers: 8589 and 6549  6549  August 18 2014 Use By 09-16-14  8589  September 18/19 2014 Use By 09-15-15     Products that are frozen have a more extended shelf-life/use by date."
"Food","No","","70499","Terminated","Whole Foods Market","550 Bowie St","","Austin","TX","	78703-4648","United States","Voluntary: Firm initiated","E-Mail","CT, DC, KY, MA, MD, ME, NH, NJ, NY, OH, PA, RI, VA","F-2233-2015","Class I","Dip, Black Bean UPC/PLU: 00000484003","990 units","Undeclared peanut protein in products containing cumin","02/07/2015","05/08/2015","07/13/2015","05/20/2015","Use by 1/20/15-2/7/15"
"Food","No","","70499","Terminated","Whole Foods Market","550 Bowie St","","Austin","TX","	78703-4648","United States","Voluntary: Firm initiated","E-Mail","CT, DC, KY, MA, MD, ME, NH, NJ, NY, OH, PA, RI, VA","F-2235-2015","Class I","Enchilada, Adobo Black Bean UPC/PLU: 26735600000","1590 units","Undeclared peanut protein in products containing cumin","02/07/2015","05/08/2015","07/13/2015","05/20/2015","Use by 2/8/15-2/11/15"
"Food","No","","70499","Terminated","Whole Foods Market","550 Bowie St","","Austin","TX","	78703-4648","United States","Voluntary: Firm initiated","E-Mail","CT, DC, KY, MA, MD, ME, NH, NJ, NY, OH, PA, RI, VA","F-2237-2015","Class I","HotBar, Latin Comfort, Stewed Black Beans UPC/PLU: 48000088655","1150 pounds","Undeclared peanut protein in products containing cumin","02/07/2015","05/08/2015","07/13/2015","05/20/2015","Use by 2/27/15"
"Food","No","","70499","Terminated","Whole Foods Market","550 Bowie St","","Austin","TX","	78703-4648","United States","Voluntary: Firm initiated","E-Mail","CT, DC, KY, MA, MD, ME, NH, NJ, NY, OH, PA, RI, VA","F-2240-2015","Class I","Quesadilla, Vegan Beef UPC/PLU: 27267700000","45 pounds","Undeclared peanut protein in products containing cumin","02/07/2015","05/08/2015","07/13/2015","05/20/2015","Use by 1/20/15-2/7/15"
"Food","No","","70499","Terminated","Whole Foods Market","550 Bowie St","","Austin","TX","	78703-4648","United States","Voluntary: Firm initiated","E-Mail","CT, DC, KY, MA, MD, ME, NH, NJ, NY, OH, PA, RI, VA","F-2244-2015","Class I","Vegetarian, NEW Falafel UPC/PLU: 48000025248","950 pounds","Undeclared peanut protein in products containing cumin","02/07/2015","05/08/2015","07/13/2015","05/20/2015","Use by 1/20/15-2/7/15"
"Drugs","No","","70643","Terminated","Hospira Inc.","275 N Field Dr","","Lake Forest","IL","	60045-2579","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-1076-2015","Class I","MAGNESIUM SULFATE IN 5% DEXTROSE INJECTION, USP, 10 mg/mL; 100 mL bag, Rx only, Hospira, Inc., Lake Forest, IL  60045, NDC 0409-6727-23, UPC (01) 0 030409 672723 1.","181,704 bags","Labeling: Wrong Bar Code: There is a potential for some units to be mislabeled with an incorrect barcode on the immediate container that scans as heparin sodium 2000 USP units/1000 mL in 0.9%  in sodium chloride injection.","03/06/2015","05/13/2015","10/19/2016","05/20/2015","Lot: 42-120-JT, Exp 01DEC2015"
"Food","No","","70751","Terminated","Trader Joes Company","800 S Shamrock Ave","","Monrovia","CA","	91016-6346","United States","Voluntary: Firm initiated","Press Release","Nationwide to the following; CA, NV, AZ, WA, OR, CO, UT, ID, TX, MA, RI, ME, NH, CT, VT, NY, NJ, KY, VA, PA, DE, DC, MD, TN, MI, IN, OH, IL, MO, WI, MN, NE, KS, GA, NC, SC, LA, FL.    No foreign distribution.","F-2186-2015","Class I","Trader Joe's Nuts  Raw California Walnut Pieces  NET WT. 16oz. (1 LB) 454g  UPC 00373685    Trader Joe's Nuts  Raw California Walnut Halves & Pieces  NET WT. 16 OZ (1 LB) 454g  UPC 00943338    Trader Joe's Nuts  Raw California Walnut Baking Pieces  NET WT. 16 OZ (1 LB) 454g  UPC 00519342    Trader Joe's Nuts  Raw California Premium Walnut Halves  NET WT. 16 OZ (1 LB) 454g  UPC 00519328    Trader Joe's Organic  Raw Walnut Halves & Pieces  NET WT. 16 OZ (1 LB) 454g  UPC 00586627    The products are packaged in clear bags with UPC Codes printed on the back.  For Raw California Walnut products, the ""BEST BY"" dates and Lot Numbers can be found printed on the back of the packages.  For the Organic Raw Walnut products, the ""BEST BY"" dates can be found printed on the front of the packages.","","The firm is recalling Raw Walnuts because the products have the potential to be contaminated with Salmonella, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Healthy persons infected with Salmonella often experience fever, diarrhea (which may be bloody), nausea, vomiting and abdominal pain. In r","03/17/2015","05/08/2015","07/13/2015","05/20/2015","Trader Joe's Nuts Raw California Walnut Pieces--16 oz.  UPC: 00373685  Best By Date: 12/2015  Lot Numbers: GU4345    Trader Joes Nuts Raw California Walnut Halves & Pieces  16 oz  UPC: 00943338  Best By Date: 12/2015  Lot Numbers: GU4346, GU4349, GU4356    Trader Joes Nuts Raw California Walnut Baking Pieces  16 oz  UPC: 00519342  Best By Date: 12/2015  Lot Numbers: GU4350    Trader Joes Nuts Raw California Premium Walnut Halves  16oz  UPC: 00519328  Best By Date: 12/2015  Lot Numbers: GU4343, GU4344, GU4351, GU4352    Trader Joes Organic Raw Walnut Halves & Pieces  12oz  UPC: 00586627  Best By Date: OCT 15 2015, OCT 16 2015, OCT 17 2015, OCT 20 2015, OCT 21 2015, NOV 17 2015, NOV 18 2015, NOV 19 2015, NOV 20 2015, NOV 28 2015, DEC 01 2015"
"Food","No","","70789","Terminated","Aurora Products, Inc.","205 Edison Rd","","Orange","CT","	06477-3665","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product shipped to distributors in the following states: NY, CT, NH, RI, MA, CA, MD, ME, MN, PA and Nationwide through retail stores. Canada:  Winners, HomeSense and Marshalls stores  Bermuda","F-2258-2015","Class I","Walnuts: America Choice, 12 oz. Plastic Pouch, UPC: 75480779049; Aurora , 6.5 oz. Plastic Cup, UPC: 65585200097; Aurora, 14.0 oz. Plastic Tub, UPC: 65585200070; Aurora, Bulk, NO UPC; Aurora, 4.0 oz. Plastic Pouch, UPC: 65585200490; Aurora, 12.0 oz. Plastic Pouch, UPC: 65585200316; Belmont Market, 6.5 oz. Plastic Cup, UPC: 65585200097; Ernest Klein, 6.5 oz. Plastic Cup, UPC: 65585200097; Food Emporium Brand Products, 14.0 oz. Plastic Tub, UPC: 1119079096; Food Emporium Brand Products, 12.0 oz. Plastic Pouch, UPC: 72297451004; Gauls Market Brand Products, 6.5 oz. Plastic Cup, UPC: 65585200097; Giant Carlisle Food Store, 6.5 oz. Plastic Cup, UPC: 68826713594; Giant of Maryland, 6.5 oz. Plastic Cup, UPC: 68826713594; Gourmet Garage, 6.5 oz. Plastic Cup, UPC: 79084505931; Gourmet Garage, 14.0 oz. Plastic Tub	, UPC: 79084505371; Harvest Co  Op Market, 6.5 oz. Plastic Cup, UPC: 65585200097; Hurley Ridge, 6.5 oz. Plastic Cup, UPC: 65585200097; Hurley Ridge, 12 oz. Plastic Pouch, UPC: 65585200316; Lees Market, 6.5 oz. Plastic Cup, UPC: 65585200097; Martins Food, 6.5 oz. Plastic Cup, UPC: 68826713594; Palmers Market, 6.5 oz. Plastic Cup, UPC: 65585200097; Stop & Shop, 6.5 oz. Plastic Cup, UPC: 68826713594; Union Market, 6.5 oz. Plastic Cup, UPC: 65585200097; Walter Stewart Market, 14.0 oz. Plastic Tub, UPC: 65585200070; Wild Acorns, 6.5 oz. Plastic Cup, UPC: 81957401075; Wild By Nature Brand Products, 6.5 oz. Plastic Cup, UPC: 65585270097; Windfall Market, 6.5 oz. Plastic Cup, UPC: 65585200097","23757 pounds","Salmonella","03/20/2015","05/12/2015","08/17/2015","05/20/2015","Best if used by date range: 10/29/15  12/7/15"
"Food","No","","70789","Terminated","Aurora Products, Inc.","205 Edison Rd","","Orange","CT","	06477-3665","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product shipped to distributors in the following states: NY, CT, NH, RI, MA, CA, MD, ME, MN, PA and Nationwide through retail stores. Canada:  Winners, HomeSense and Marshalls stores  Bermuda","F-2259-2015","Class I","4  Section Nut Tray Assortment:  Aurora 13 oz. Plastic Tray UPC: 65585200141; Food Emporium Brand Products 13 oz. Plastic Tray UPC: 1119079011  ","74.4 lbs","Salmonella","03/20/2015","05/12/2015","08/17/2015","05/20/2015","Best if used by date range: 11/6/15  12/10/15"
"Food","No","","70789","Terminated","Aurora Products, Inc.","205 Edison Rd","","Orange","CT","	06477-3665","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product shipped to distributors in the following states: NY, CT, NH, RI, MA, CA, MD, ME, MN, PA and Nationwide through retail stores. Canada:  Winners, HomeSense and Marshalls stores  Bermuda","F-2260-2015","Class I","5 K Omega Trail Mix: Aurora  20 oz. Plastic Cup	 UPC: 65585200121; Aurora, 10 oz. Plastic Cup UPC: 65585200703; Belmont Market 10 oz. Plastic Cup; UPC: 65585200703; Gourmet Garage 10 oz. Plastic Cup UPC: 79084505947  Union Market 10 oz. Plastic Cup UPC: 65585200703  ","268 lbs","Salmonella","03/20/2015","05/12/2015","08/17/2015","05/20/2015","Best if used by date range: 11/3/15  11/16/15"
