Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Veterinary","No","","78865","Ongoing","Pet Apothecary Llc","8850 N Port Washington Rd","","Milwaukee","WI","	53217-1676","United States","Voluntary: Firm initiated","Telephone","IL","V-0099-2018","Class I","Phenobarbital Capsule, 6 MG. The Pet Apothecary, 407 W. Silver Spring Dr., Milwaukee, WI 53217.  NDC: 38779-0852-05","60 capsules","Animal drug is superpotent.","10/20/2017","06/28/2018","","06/06/2018","Lot: 224590"
"Devices","No","","80003","Ongoing","Maquet Datascope Corp - Cardiac Assist Division","1300 Macarthur Blvd","","Mahwah","NJ","	07430-2052","United States","Voluntary: Firm initiated","Other","The devices were distributed to the following US states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, and Guam.    The devices were distributed to the following foreign countries: Argentina, Australia, Austria, Azerbaijan, Bahrain, Belgium, Brazil, Brunei, Bulgaria, Canada, Chile, China, Czech Republic, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Finland, France, Germany, Ghana, Guatemala, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Japan, Jordan, Kuwait, Lebanon, Libya, Lithuania, Macedonia, Malaysia, Mexico, Morocco, Myanmar, Netherlands, Nigeria, Norway, Oman, Pakistan, Palestine, Philippines, Poland, Portugal, Russia, Saudi Arabia, Serbia, Singapore, Slovakia, Slovenia, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Syrica, Taiwan, Thailand, Turkey, UAE, UK, Vietnam, Yemen.","Z-1928-2018","Class I","CARDIOSAVE Hybrid Intra-Aortic Balloon Pump (IABP), Part Number 0998-00-0800-XX & 0998-UC-0800-XX (excluding 0998-00-0800-83, 0998-UC-0800-83 & 0998-00-0800-75) and cart 0997-00-1179  ","4300","Ingress of fluids into the device can affect various electronic circuit boards which would prevent initiation or continuation of therapy.","05/03/2018","05/31/2018","","06/06/2018","All Serial Numbers distributed from 03/06/2012 to  04/26/2018"
"Devices","No","","80056","Ongoing","Heartware","14400 NW 60th Ave","","Miami Lakes","FL","	33014-2807","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution including US Nationwide, Argentina, Australia, Austria, Belarus, Belgium, Brazil, Canada, Chile, Croatia, Cyprus, Czech Republic, Denmark, Egypt, Estonia, Finland, France, Germany, Greece, Hong Kong, Hungary, India, Israel, Italy, Japan, Kazakhstan, Korea, , Kuwait, Latvia, Lebanon, Lithuania, Luxembourg, Malaysia, Netherlands, New Zealand, Norway, Poland, Romania, Saudi Arabia, Serbia, Singapore, Slovakia, South Africa, Spain, Sweden, Switzerland, Taiwan, Turkey, Ukraine, United Arab Emirates, and Vietnam.","Z-1903-2018","Class I","Heartware Medtronic  HVAD System for cardiac use.  Including the following parts:  (a) Controller / Controller Kits, Product numbers: 1400, 1401, 1403, 1407, 1420  (b) DC Adapter, Product numbers: 1435, 1440  (c) AC Adapter, Product numbers:  1425, 1430  (d) Battery Pack, Product number:  1650DE      Indication for Use for OUS HVAD System: The HVAD System is intended for use in patients at risk of death from refractory end-stage heart failure. The HVAD System is designed for in-hospital and out-of-hospital settings, including transportation via fixed wing aircraft or helicopter.  ","175878 devices","Possible transient electrical connection interruption between an HVAD System power source (Battery, AC Adapter, or DC Adapter) and the Controller, while the power source is connected, that may cause unintended switching to the secondary power source and/or unexpected audible tones (beeping). The interruption typically lasts 1-2 seconds, due to oxidation between power source connector and socket.","05/02/2018","05/31/2018","","06/06/2018","ALL SERIAL NUMBERS    UPN/GTIN:  (a) 1400 and 1401:  distributed prior to GTN requirement        1403: 00888707000116, 00888707000475        1407: '00888707000291, '00888707000727, '00888707000710,    00888707000734, '00888707000741, '00888707000765, '00888707000758, '00888707000789, '00888707000772, '00888707000499, '00888707000796, '00888707000802, '00888707000819, '00888707000482, '00888707004534, '0888707001670, '00888707001656, '00888707001663, '00888707001670, '00888707001687, '00888707001694, '00888707001700, '00888707001717, '00888707001724, '00888707001731, '00888707001748, '00888707001755, '00888707001762, '00888707002813, '00888707002820, '00888707002837, '00888707002844, '00888707002851, '00888707001472        1420: '00888707000420, '00888707000437, '00888707002660    (b) 1435:  '00888707000109       1440:  '00888707000260, '00888707001885, '00888707001496,   '00888707002745    (c) 1425:  '00888707000093       1430: '00888707000307, '00888707000826, '00888707000833,   '00888707000840, '00888707000857, '00888707000871, '00888707000864,   '00888707000888, '00888707000901, '00888707000505, '00888707000895,   '00888707000918, '00888707001489, '00888707001779, '00888707001786,   '00888707001793, '00888707001809, '00888707001816, '00888707001823,   '00888707001830, '00888707001847, '00888707001854, '00888707001861,   '00888707001878, '00888707002738, '00888707002769, '00888707002776,   '00888707002783, '00888707002790, '00888707002806, '00888707004817    (d) 1650DE:  00888707000369, 00888707001373, '00888707001588,  '00888707001366, '00888707002684 '00888707002646, '00888707002653,   '00888707000376"
"Food","No","09/18/2018","80070","Terminated","Caudill Sprouting LLC","1531 W Main St","Suite A","Louisville","KY","	40203-1329","United States","Voluntary: Firm initiated","Letter","The seeds were distributed to 6 consignees (five domestic facilities in FL, IL, & MN and one in Mexico)","F-1572-2018","Class I","Alfalfa Seeds  ","","The firm's seeds have been linked in a multistate outbreak of Salmonella Montevideo and Salmonella Cubana infections.","05/10/2018","06/14/2018","09/06/2019","06/06/2018","Master Lot# AT-0286098"
"Drugs","No","","80128","Ongoing","Shoreside Enterprises Inc.","6345 Newtown Cir Apt A3 Ste A-3","","Tampa","FL","	33615-3629","United States","Voluntary: Firm initiated","Press Release","Nationwide.","D-0879-2018","Class I","POSEIDON Xtreme PLATINUM 4500,1000mg, packaged in single packs sold in 24-count boxes, Distributed by: Poseidon Distribution Atlanta, GA, UPC 638632428857","Unknown","Marketed Without An Approved NDA/ANDA: FDA analysis found products to contain undeclared sildenafil and tadalafil. The presence of sildenafil and tadalafil makes these products an unapproved drug for which safety and efficacy have not been established and, therefore, subject to recall.","05/17/2018","06/18/2018","","06/06/2018","Lot #: 201117BL, Exp. 01/2020"
"Drugs","No","","80128","Ongoing","Shoreside Enterprises Inc.","6345 Newtown Cir Apt A3 Ste A-3","","Tampa","FL","	33615-3629","United States","Voluntary: Firm initiated","Press Release","Nationwide.","D-0880-2018","Class I","7K capsules packaged in single packs sold in 24-count boxes, Distributed by SX Power Co. San Diego, CA 92108, UPC 601577513148","Unknown","Marketed Without An Approved NDA/ANDA: FDA analysis found products to contain undeclared sildenafil and tadalafil. The presence of sildenafil and tadalafil makes these products an unapproved drug for which safety and efficacy have not been established and, therefore, subject to recall.","05/17/2018","06/18/2018","","06/06/2018","Lot #: RO, Exp. 12/31/2021"
"Food","No","","80134","Terminated","Ziyad Brothers Importing, Inc.","5400 W 35th St","","Cicero","IL","	60804-4431","United States","Voluntary: Firm initiated","Letter","Domestic: AL, AR, AZ, CA, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, NC, NE, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, WA,WI    Foreign: Virgin Islands","F-1495-2018","Class I","Ziyad Brand Tahini, 8oz, 16oz, ¿ gal, 32oz. , packed in glass jars","655 units, 8827 units, 5304 units, 456 units","Ziyad Brothers Importing is voluntarily recalling its Ziyad Brand Tahini, 8 oz. 16 oz., 1/2 gallon and 32 oz. sizes due to potential contamination with Salmonella.","05/17/2018","05/25/2018","10/16/2018","06/06/2018","Ziyad Brand Tahini, 8oz, 16oz, ¿ gal, 32oz. , packed in glass jars,    Product Code Product Description & Size Lot #  A0071 Ziyad Tahini 6 x 1/2 gal Glass Jar 35417  A0072 Ziyad Tahini 12 x 32 oz Glass Jar 00318  A0073 Ziyad Tahini 12 x 16 oz Glass Jar 35317    35417    35517    35617  A0076 Ziyad Tahini 12 x 8 oz Glass Jar 34817    01218  S0073 Ziyad Tahini 6 x 16 oz. Glass Jars 34917"
"Devices","No","","78460","Ongoing","NordicNeuroLab AS","Mollendalsveien 65c","","Bergen","","	","Norway","Voluntary: Firm initiated","E-Mail","Worldwide Distribution - USA (nationwide) and to the countries of :  SA, Russia, South Korea, UK, Japan, Australia, Sweden, Norway, Greece","Z-2042-2018","Class II","nordicTumorEx 1.0      nordicTumorEx is an image processing software package to be used by trained professionals including but not limited to physicians and medical technicians. The software runs on a standard  off-the-shelf  PC workstation and can be used to perform image viewing, processing and analysis of medical images. Data and images are acquired through DICOM compliant imaging devices and modalities. nordicTumorEx software enables processing and visualization of dynamic MR imaging datasets of the brain, showing properties of changes in contrast overtime. It generates various parametric images calculated from the image intensity variations and provides tools to extract and visualize such parametric properties within specified volumes of interest. Structural datasets providing anatomical information can be sued to evaluate the extent of a specified sub-volume, such as a tumor. Comparison of imaging studies performed at different study dates may also be performed to support the diagnostic process.","16 licenses","An error was discovered in the interpretation of certain DICOM header tags that may lead to incorrect orientation labeling, and thus and indirect left-right, up-down or anterior-posterior flipping of images.","12/15/2014","05/31/2018","","06/06/2018","Version 1.0.4"
"Devices","No","","78463","Ongoing","NordicNeuroLab AS","Mollendalsveien 65c","","Bergen","","	","Norway","Voluntary: Firm initiated","E-Mail","Worldwide Distribution -- USA, Australia, Denmark, China, France, Japan, Malaysia, Netherlands, USA, Poland, Sweden, Spain, Russia, India, Norway, Singapore, South Korea, United Kingdom, and Slovenia.","Z-2044-2018","Class II","nordicICE 2.3.14    Image processing software package used by trained professionals,  including physicians and medical technicians.","97 licenses","An error was discovered in the interpretation of certain DICOM header tags that may lead to incorrect orientation labeling, and thus and indirect left-right, up-down or anterior-posterior flipping of images.","09/12/2014","05/31/2018","","06/06/2018","Version 2.3.14"
"Devices","No","","79413","Terminated","Siemens Healthcare Diagnostics, Inc.","500 Gbc Dr Ms 514","PO BOX 6101","Newark","DE","	19702-2466","United States","Voluntary: Firm initiated","Letter","US Nationwide Distribution","Z-1946-2018","Class II","Syva¿ EMIT¿ 2000 Theophylline    Product Usage:  The Syva¿ Emit¿ 2000 Theophylline Assay is a homogeneous enzyme immunoassay intended for use in the quantitative analysis of theophylline in human serum or plasma.  ","","Lot J1 of the Syva¿ EMIT¿ 2000 Theophylline Assay,  when run on a Beckman AU Clinical Chemistry System, may exhibit increased imprecision for commercially available controls and for patient samples.","11/27/2017","05/25/2018","04/19/2019","06/06/2018","Catalog # 4P019UL /SMN#10445324  kit lot J1 (UDI# 00842768001024J120190414)"
"Biologics","No","","79639","Terminated","Haemonetics Corporation","400 Wood Rd","","Braintree","MA","	02184-2412","United States","Voluntary: Firm initiated","Letter","US","B-0579-2018","Class II","Acrodose PLus and PL Systems, Product Code: 73282, 73283, 73286","61,299 units","Specific lots of Haemonetics Acrodose PLus and PL Systems, associated with low pH readings in the CLX HP bag, and in some instances accompanied by a yellow discoloration of the storage bag, were distributed.","03/28/2018","05/31/2018","03/11/2019","06/06/2018","Affected Lots  1754045  1754067  1754068  1754070  1754084  1754085  1854001    1754048  1754054  1754069  1754071  1754072  1754074  1754075  1754086  1754087  1754090  1754089"
