Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info
"Devices","No","","80508","Ongoing","Vyaire Medical","26125 N Riverwoods Blvd","","Mettawa","IL","	60045-3420","United States","Voluntary: Firm initiated","Letter","Domestic Distribution:  AZ, CA, CT, FL, GA, IA, IL, IN, MA, MD, MN,  NJ, OH, OK, SD, TX, WA, WI.","Z-2826-2018","Class I","The Tri-Flo Subglottic Suction System        ","2150 Units Total","Vyaire Medical has discovered potential patient safety risk with associated with the Tri-Flow Subglottic Suction System. The distal soft tip of the catheter has been identified as having the potential to break off during patient use and result in aspiration of a solid foreign body.","06/20/2018","08/21/2018","","08/29/2018","Part number: CM28010;    Lot/Serial Numbers:  0001158835 , 0001158836, 0001158837, 0001185564,  0001194114 , 0004008255, 0004008256."
"Devices","No","","80545","Ongoing","Compass Health Brands (Corporate Office)","6753 Engle Rd","","Middleburg Heights","OH","	44130-7934","United States","Voluntary: Firm initiated","Letter","US nationwide distribution to AL, CT, FL, GA, KY, MS, NC, NY, TN, and TX.","Z-2741-2018","Class I","CPAP Mask Cushion, Model Nos. PB781S, PB781M, PB781L, 781S, 781M and 781L    Product Usage:  A CPAP mask is attached to an end user s face and a CPAP machine, to treat end users with sleep apnea. The replacement cushion is a non-durable component that requires replacement every 3 - 6 months. The cushion is used for both comfort and to provide a seal between the face and the mask.  ","742","A May 2015 design change in the cushion seal replacement part and accompanying elbow replacement part resulted in incompatibility of the new cushion seal with the previous design of the elbow. Use of the new cushion seal with the previous design elbow could lead to unacceptable CO2 porting. As there was no model number change for this design change, customers may not be aware of the incompatibility.","06/18/2018","08/20/2018","","08/29/2018","All units manufactured after May 1, 2015"
"Food","No","","80588","Terminated","Gift Services Inc Warehouse","1800 W Fourth Plain Blvd Ste 120B","","Vancouver","WA","	98660-1367","United States","Voluntary: Firm initiated","Press Release","sold directly to consumers nationwide through two online retail platforms GiftTree.com and 1stopflorists.com","F-1839-2018","Class I","Sherman Candy Caramels are individually wrapped in plastic and then sealed in a cardboard flexible carton.  Each Sherman Candy Caramels contains 3 pieces inside and sold in the following gift baskets:    Metropolitan Gourmet Gift Basket.   Encore Gourmet Gift Basket.   Toast of California Wine Basket.   California Classic Gift Basket.  The 5th Avenue Wine Gift Basket.  Country Estate Gift Basket.  Veuve Clicquot Tasting Gift Basket.    No other products within these gift baskets are subject to recall. Sherman Candy Caramels are not sold separately.      The Sherman Candy Caramels label is read in parts: ""***SHERMAN CANDY CO. CARAMELS ***Ingredients: Milk Chocolate (sugar, milk, chocolate liquor, cocoa butter, soy lecithin [an emulsifier], vanilla), Dark Chocolate (sugar, chocolate liquor, cocoa butter, soy lecithin [an emulsifier], vanilla), Coconut Oil, White Chocolate (sugar, cocoa butter, whole milk powder, soy lecithin (an emulsifier), nautral vanilla flavor), Butter Oil, Natural Flavor, Soy Lecithin, Salt ***CONTAINS: Coconut, Milk, Soy ***"".","38,079 packages","Sherman Candy Caramels product is recalled due to undeclared pecans, walnuts, almonds and/or peanuts.","07/20/2018","08/21/2018","02/08/2019","08/29/2018","None.    Product expiration dates included 12/16/17, 1/26/18, 2/20/18, 4/10/18, 7/13/18, 7/18/18, 9/18/18 12/29/18, 4/24/19, 6/5/19, 7/2/19."
"Food","No","","80599","Ongoing","Peanut Processors, Inc.","7329 Albert St","","Dublin","NC","	28332","United States","Voluntary: Firm initiated","Telephone","Product was shipped to AR & TN.","F-1840-2018","Class I","Peanut Paste/Butter bulk tankers","93,620 lbs","The firm was notified by a customer that the product test positive for Salmonella","07/20/2018","08/21/2018","","08/29/2018","Lot#: E-18191 & Lot#: E-18191-1"
"Devices","No","","80619","Terminated","bioMerieux, Inc.","100 Rodolphe St","","Durham","NC","	27712-9402","United States","Voluntary: Firm initiated","Letter","Worldwide distribution.  US nationwide including Puerto Rico, Bermuda, Brazil, Canada, China, Curacao, Costa Rica, Dominican Republic, Ecuador, France, Guatemala, Indonesia, Israel, Hong Kong, South Korea, South Africa, Mexico, Myanmar, Nicaragua, Peru, Philippines, Paraguay, Singapore, Thailand, El Salvador, and Vietnam.","Z-2817-2018","Class I","bioMerieux VITEK 2 Gram Positive Cefoxitin Screen, VITEK 2 Gram Positive AST for Oxacillin, VITEK SYSTEMS General Susceptibility Card      Cefotoxin and AST for Oxacillin      bioMerieux VITEK 2 AST-P631  bioMerieux VITEK 2 AST-GP67 Test Kit  bioMerieux VITEK 2 AST-GP71 Test Kit  bioMerieux VITEK 2 AST-GP75 Test Kit  bioMerieux VITEK 2 AST-GP78 Test Kit    Components for an automated invitro diagnostic system consisting of instruments, software and reagent cards designed for the ID and antimicrobial susceptibility testing of bacteria and yeast.  ","13,961,320 US","Customer reports indicated an increase in the rate of non-detected MRSA in association with the VITEK 2 AST-P631 product.","01/26/2018","08/17/2018","05/20/2019","08/29/2018","VITEK 2 AST-P631, Ref # 414961 UDI  03573026426804 OXSF, multiple Gram Positive Cards all lots of cards with Oxacillin and Cefotoxin        OX, OXSF, multiple Gram Positive Cards    all lots of cards with Oxacillin and Cefotoxin    VITEK 2 AST-GP67 Test Kit, Ref: # 22226  UDI  03573026242060, OX, OXSF, multiple Gram Positive Cards, all lots of cards with Oxacillin and Cefotoxin.  VITEK 2 AST-GP71 Test Kit, Ref: #410750  UDI 03573026355173, OX, OXSF, multiple Gram Positive Cards, all lots of cards with Oxacillin and Cefotoxin.  VITEK 2 AST-GP75 Test Kit, Ref: #415670  UDI 03573026437183, OX, OXSF, multiple Gram Positive Cards, all lots of cards with Oxacillin and Cefotoxin.  VITEK 2 AST-GP78 Test Kit, Ref: #421051  UDI 03573026553982, OX, OXSF, multiple Gram Positive Cards, all lots of cards with Oxacillin and Cefotoxin."
"Food","No","","80687","Ongoing","HP Hood LLC","160 Hood Way","","Winchester","VA","	22602-5321","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was distributed in the continental US in 24 states.","F-1832-2018","Class I","Blue Diamond Almond Breeze Almond Milk, Half Gallon","24,209 cases (72,627 gallons) distributed","HP Hood LLC, has initiated a recall of Blue Diamond Almond Breeze Almond Milk, Half Gallon, because the product tested positive for milk allergen.","08/01/2018","08/17/2018","","08/29/2018","SEP 02 18 HH:MM (military time) H5 L# (1 or 2) 51-4109."
"Drugs","No","09/07/2018","80719","Ongoing","Westminster Pharmaceuticals Llc","1 & 2","154 Downing Street","Olive Branch","MS","	38654","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-1178-2018","Class I","Levothyroxine and Liothyronine (Thyroid Tablets, USP), 1 grain (60 mg), 100-count bottles, Rx Only, Manufactured for: Westminster Pharmaceuticals, LLC, 154 Downing Street, Unit 1 & 2, Olive Branch, MS 38654, NDC 69367-156-04.","Unknown","Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled.","08/03/2018","09/07/2018","","08/29/2018","Lot #: 15617VP03, 15617VP01, 15617VP-02, Exp 7/31/2019;  15617VP06, 15617VP05, Exp 11/30/2019; 15617VP04, 15618004, 15618002, Exp 12/31/2019; 15618009, 15618008, Exp 2/29/2020; 15618011, Exp 3/31/2020."
"Drugs","No","09/07/2018","80719","Ongoing","Westminster Pharmaceuticals Llc","1 & 2","154 Downing Street","Olive Branch","MS","	38654","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-1179-2018","Class I","Levothyroxine and Liothyronine (Thyroid Tablets, USP), 1 & 1/2 grain (90 mg), 100-count bottles, Rx Only, Manufactured for: Westminster Pharmaceuticals, LLC, 154 Downing Street, Unit 1 & 2, Olive Branch, MS 38654, NDC 69367-157-04.","Unknown","Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled.","08/03/2018","09/07/2018","","08/29/2018","Lot #: 15717VP-01, 15717VP-02, 15717VP-03, Exp 7/31/2019; 15717002, Exp 12/31/2019; 15718004, Exp 3/31/2020."
"Drugs","No","09/07/2018","80719","Ongoing","Westminster Pharmaceuticals Llc","1 & 2","154 Downing Street","Olive Branch","MS","	38654","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-1180-2018","Class I","Levothyroxine and Liothyronine (Thyroid Tablets, USP), 1/2 grain (30 mg), 100-count bottles, Rx Only, Manufactured for: Westminster Pharmaceuticals, LLC, 154 Downing Street, Unit 1 & 2, Olive Branch, MS 38654, NDC 69367-155-04.","Unknown","Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled.","08/03/2018","09/07/2018","","08/29/2018","Lot #: 15517VP01, 15517VP02, 15517VP03, Exp 8/31/2019; 15518001, Exp 12/31/2019; 15518002, Exp 3/31/2020."
"Drugs","No","09/07/2018","80719","Ongoing","Westminster Pharmaceuticals Llc","1 & 2","154 Downing Street","Olive Branch","MS","	38654","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico","D-1181-2018","Class I","Levothyroxine and Liothyronine (Thyroid Tablets, USP), 1/4 grain (15 mg), 100-count bottles, Rx Only, Manufactured for: Westminster Pharmaceuticals, LLC, 154 Downing Street, Unit 1 & 2, Olive Branch, MS 38654, NDC 69367-159-04.","Unknown","Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled.","08/03/2018","09/07/2018","","08/29/2018","Lot #: 15917VP03, 15917VP02, 15917VP01, Exp 10/31/2019; 15918004, 15918003, 15918002, 15918001, Exp 12/31/2019; 15918VP03, 15918VP02, 15918VP01, 15918005, Exp 2/29/2020; 15918007, 15918006, Exp  3/31/2020."
