Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info
"Food","No","","73813","Terminated","Whole Foods Market North Atlantic Kitchen","9 Commercial St","Suite 300","Everett","MA","	02149-5506","United States","Voluntary: Firm initiated","E-Mail","MA, RI, CT, NY, NJ","F-0374-2017","Class I","Whole Foods Asparagus Pea & Ricotta Salad, 10 Ounces","83 units","Product contains undeclared allergen-eggs","04/10/2016","10/28/2016","10/31/2016","11/09/2016","Sell By Date: 04/14/2016"
"Food","No","","73965","Terminated","Glenn Wayne Wholseale Bakery Inc.","1800 Artic Ave","","Bohemia","NY","	11716-2443","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","New York State","F-0371-2017","Class I","7-ELEVEN FRESH TO GO CHOCOLATE CHUNK COOKIE, NET WT. 4 OZ., UPC 052548558741; Manhattan UPC: 052548570668 --","4486 units","The finished cookie product may contain undeclared peanuts.","04/26/2016","10/28/2016","11/15/2016","11/09/2016","Best By Dates: Friday 0422, Saturday 0423, Sunday 0424"
"Food","No","","73965","Terminated","Glenn Wayne Wholseale Bakery Inc.","1800 Artic Ave","","Bohemia","NY","	11716-2443","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","New York State","F-0372-2017","Class I","7-ELEVEN FRESH TO GO OATMEAL RAISIN COOKIE, NET WT. 4 OZ., UPC 052548558758; Manhattan UPC: 052548570651","3278 units","The finished cookie product may contain undeclared peanuts.","04/26/2016","10/28/2016","11/15/2016","11/09/2016","Best By Dates: Friday 0422, Saturday 0423, Sunday 0424"
"Food","No","","73965","Terminated","Glenn Wayne Wholseale Bakery Inc.","1800 Artic Ave","","Bohemia","NY","	11716-2443","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","New York State","F-0373-2017","Class I","7-ELEVEN FRESH TO GO SUGAR COOKIE WITH M&M CHOCOLATE CANDY, NET WT. 4 OZ., UPC 052548558765; Manhattan UPC: 052548570644","1888 units","The finished cookie product may contain undeclared peanuts.","04/26/2016","10/28/2016","11/15/2016","11/09/2016","Best By Dates: Friday 0422, Saturday 0423, Sunday 0424"
"Food","No","","73970","Terminated","Vitalicious Acquisition","165-35 145th Dr","","Jamaica","NY","	11434-5108","United States","Voluntary: Firm initiated","E-Mail","Nationwide","F-0370-2017","Class I","VitaTops Apple Crumb, NET WT. 2 oz. (55g), packed in a clear plastic film and sold frozen in cases of 12 units, 24 units, or variety packs.  The affected lots were sold in case of 24 units per case.","145 cases (24 units per case)","The affected lots of VitaTops Apple Crumb contain undeclared milk.","04/21/2016","10/28/2016","04/17/2017","11/09/2016","Lots 16 075 C and 16 078 C (stamped on top of film)"
"Food","No","","75397","Terminated","Le Petit Belge","1311 E 34th St","","Brooklyn","NY","	11210-4819","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Texas, Maryland, California, Illinois, and Canada","F-0310-2017","Class I","BELGIAN BOYS MINI PANCAKES, NET WT. 10.6 oz (300g), 36 Count, UPC 857290005204, Product of The Netherlands --- Produced exclusively for Belgian Boys, 140 Carolyn Blvd., Farmingdale, NY 11735","US: 240 cases (12 units per case); Canada: 240 cases (12 units per case)","The product/lot contains undeclared milk.","10/07/2016","10/28/2016","06/19/2018","11/09/2016","Lot 20432, Best Before Jul 07 2017"
"Food","No","","75416","Terminated","Nutrisystem Inc","600 Office Center Dr","","Fort Washington","PA","	19034-3232","United States","Voluntary: Firm initiated","Letter","Product distributed to: CT. DE. MA. NH. NJ. NY. PA. RI. VA. and VT.  and online through Amazon.com and Walmart.com","F-0322-2017","Class I","Chocolate Chip Cookie Dough Bar 1.6 oz, 5 count carton  ","455 Cases","Product may be contaminated with Listeria monocytogenes.","10/11/2016","11/03/2016","07/18/2017","11/09/2016","UPC 6 32674 85579 4, Enjoy by Aug 22 2017 and Lot Code NF082216A."
"Food","No","","75439","Terminated","Osage Gardens, Incorporated","36730 River Frontage Rd","","New Castle","CO","	81647-9805","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Colorado and Kansas. No Canadian, VA/govt/military or other foreign consignees.","F-0375-2017","Class I","Organic 2oz Micro Greens. Clear Plastic Clamshell. Keep Refrigerated","222 clamshell units","Osage Gardens announces a voluntary recall of Organic 2oz Micro Greens due to a positive test for Salmonella.","10/07/2016","10/28/2016","12/16/2016","11/09/2016","Julian codes: 266, 269, 272, 274, & 279."
